Word,Word_Idx,Idx,NumberOfMeanings,POS,Syn1,Syn2,Syn3,Syn4,Syn5,Syn6,Syn7,Syn8,Syn9,Syn10,Syn11,Syn12,Syn13,Syn14,Syn15,Syn16,Syn17,Syn18,Syn19,Syn20,Syn21,Syn22,Syn23,Syn24,Syn25,Syn26,Syn27,Syn28,Syn29,Syn30,Syn31,Syn32,Syn33,Syn34,Syn35,Syn36,Syn37,Syn38,Syn39,Syn40,Syn41,Syn42,Syn43,Syn44,Syn45,Syn46,Syn47,Syn48,Syn49,Syn50,Syn51,Syn52,Syn53,Syn54,Syn55,Syn56,Syn57,Syn58,Syn59,Syn60,Syn61,Syn62,Syn63,Syn64,Syn65,Syn66,Syn67,Syn68,Syn69,Syn70,Syn71,Syn72,Syn73,Syn73
u,u_1,1,4,adj,upper-class 
u,u_2,2,4,noun,U,letter u
u,u_3,3,4,noun,uracil,U
u,u_4,4,4,noun,uranium,U,atomic number 92
u. s. air force,u. s. air force_1,1,1,noun,United States Air Force,U. S. Air Force,US Air Force,Air Force,USAF
u. s. army,u. s. army_1,1,1,noun,United States Army,US Army,U. S. Army,Army,USA
u. s. army special forces,u. s. army special forces_1,1,1,noun,Special Forces,U. S. Army Special Forces,United States Army Special Forces
u. s. coast guard,u. s. coast guard_1,1,1,noun,United States Coast Guard,U. S. Coast Guard,US Coast Guard
u. s. code,u. s. code_1,1,1,noun,United States Code,U. S. Code
u.k.,u.k._1,1,1,noun,United Kingdom,UK,U.K.,Great Britain,GB,Britain,United Kingdom of Great Britain and Northern Ireland
u.s.,u.s._1,1,2,noun,United States,United States of America,America,the States,US,U.S.,USA,U.S.A.
u.s.,u.s._2,2,2,noun,United States government,United States,U.S. government,US Government,U.S.
u.s. army criminal investigation laboratory,u.s. army criminal investigation laboratory_1,1,1,noun,United States Army Criminal Investigation Laboratory,U.S. Army Criminal Investigation Laboratory,US Army Criminal Investigation Laboratory,USACIL
u.s. congress,u.s. congress_1,1,1,noun,Congress,United States Congress,U.S. Congress,US Congress
u.s. government,u.s. government_1,1,1,noun,United States government,United States,U.S. government,US Government,U.S.
u.s. house,u.s. house_1,1,1,noun,United States House of Representatives,U.S. House of Representatives,US House of Representatives,House of Representatives,U.S. House,US House,
u.s. house of representatives,u.s. house of representatives_1,1,1,noun,United States House of Representatives,U.S. House of Representatives,US House of Representatives,House of Representatives,U.S. House,US House,
u.s. mint,u.s. mint_1,1,1,noun,United States Mint,U.S. Mint,US Mint
u.s. national library of medicine,u.s. national library of medicine_1,1,1,noun,National Library of Medicine,United States National Library of Medicine,U.S. National Library of Medicine
u.s. senate,u.s. senate_1,1,1,noun,United States Senate,U.S. Senate,US Senate,Senate
u.s. waters,u.s. waters_1,1,1,noun,United States waters,U.S. waters
u.s.a.,u.s.a._1,1,1,noun,United States,United States of America,America,the States,US,U.S.,USA,U.S.A
u308,u308_1,1,1,noun,yellowcake,U308
ubermensch,ubermensch_1,1,1,noun,demigod,superman,Ubermensch
ubiquinone,ubiquinone_1,1,1,noun,coenzyme Q
ubiquitous,ubiquitous_1,1,1,adj,omnipresent,present 
ubiquitousness,ubiquitousness_1,1,1,noun,ubiquity,omnipresence
ubiquity,ubiquity_1,1,1,noun,ubiquitousness,omnipresence
u-boat,u-boat_1,1,1,noun,submarine,pigboat,sub,U-boat
ubykh,ubykh_1,1,1,noun,Ubykh
uca,uca_1,1,1,noun,Uca,genus Uca
uda,uda_1,1,1,noun,Ulster Defense Association,UDA
udder,udder_1,1,1,noun,bag
udmurt,udmurt_1,1,2,noun,Udmurt,Votyak
udmurt,udmurt_2,2,2,noun,Udmurt,Votyak
udometer,udometer_1,1,1,noun,rain gauge,rain gage,pluviometer,
u-drive,u-drive_1,1,1,noun,car rental,hire car,rent-a-car,self-drive,you-driv
ufa,ufa_1,1,1,noun,Ufa
ufo,ufo_1,1,1,noun,unidentified flying object,UFO,flying saucer,
uganda,uganda_1,1,1,noun,Uganda,Republic of Uganda
ugandan,ugandan_1,1,2,adj,Ugandan,African country,African nation,
ugandan,ugandan_2,2,2,noun,Ugandan
ugandan monetary unit,ugandan monetary unit_1,1,1,noun,Ugandan monetary unit
ugandan shilling,ugandan shilling_1,1,1,noun,Ugandan shilling,shilling
ugaritic,ugaritic_1,1,1,noun,Ugaritic
ugli,ugli_1,1,1,noun,tangelo,ugli fruit
ugli fruit,ugli fruit_1,1,2,noun,tangelo,tangelo tree,Citrus tangelo,
ugli fruit,ugli fruit_2,2,2,noun,tangelo,ugli
ugliness,ugliness_2,2,2,noun,nefariousness,wickedness,vileness
ugly,ugly_1,1,4,adj,atrocious,frightful,horrifying,horrible,alarming 
ugly,ugly_2,2,4,adj,despicable,vile,slimy,unworthy,worthless,wretched,evil 
ugly,ugly_3,3,4,adj,disfigured,evil-looking,fugly,grotesque,monstrous,unnatural,hideous,repulsive,ill-favored,ill-favoured,scrofulous,unlovely,unpicturesque,unsightly,displeasing,unattractive,awkward
ugly,ugly_4,4,4,adj,surly,ill-natured 
ugo buoncompagni,ugo buoncompagni_1,1,1,noun,Gregory,Gregory XIII,Ugo Buoncompagni
ugrian,ugrian_1,1,1,noun,Ugric,Ugrian
ugric,ugric_1,1,1,noun,Ugric,Ugrian
uhf,uhf_1,1,1,noun,ultrahigh frequency,UHF
uhland,uhland_1,1,1,noun,Uhland,Johann Ludwig Uhland
uighur,uighur_1,1,3,noun,Uighur,Uigur,Uygur
uighur,uighur_2,2,3,noun,Uighur,Uigur,Uygur
uighur,uighur_3,3,3,noun,Uighur,Uigur,Uygur
uigur,uigur_1,1,3,noun,Uighur,Uigur,Uygur
uigur,uigur_2,2,3,noun,Uighur,Uigur,Uygur
uigur,uigur_3,3,3,noun,Uighur,Uigur,Uygur
uintathere,uintathere_1,1,1,noun,dinoceras
uintatheriidae,uintatheriidae_1,1,1,noun,Uintatheriidae,family Uintatheriidae
uintatherium,uintatherium_1,1,1,noun,Uintatherium,genus Uintatherium
uk,uk_1,1,1,noun,United Kingdom,UK,U.K.,Great Britain,GB,Britain,United Kingdom of Great Britain and Northern Irelan
uke,uke_1,1,1,noun,ukulele
ukraine,ukraine_1,1,1,noun,Ukraine,Ukrayina
ukrainian,ukrainian_1,1,2,adj,Ukrainian,country,state,land 
ukrainian,ukrainian_2,2,2,noun,Ukrainian
ukranian,ukranian_1,1,1,noun,Ukranian
ukranian monetary unit,ukranian monetary unit_1,1,1,noun,Ukranian monetary unit
ukrayina,ukrayina_1,1,1,noun,Ukraine,Ukrayina
ukulele,ukulele_1,1,1,noun,uke
ulaanbaatar,ulaanbaatar_1,1,1,noun,Ulan Bator,Ulaanbaatar,Urga,Kulun,capital of Mongolia,
ulama,ulama_1,1,1,noun,ulema
ulan bator,ulan bator_1,1,1,noun,Ulan Bator,Ulaanbaatar,Urga,Kulun,capital of Mongolia,
ulanova,ulanova_1,1,1,noun,Ulanova,Galina Ulanova,Galina Sergeevna Ulanova
ulcer,ulcer_1,1,1,noun,ulceration
ulcer diet,ulcer diet_1,1,1,noun,bland diet
ulcerated,ulcerated_1,1,1,adj,cankerous,ulcerous,unhealthy 
ulceration,ulceration_2,2,2,noun,ulcer
ulcerative,ulcerative_1,1,1,adj,lesion 
ulcerous,ulcerous_1,1,1,adj,cankerous,ulcerated,unhealthy 
ulema,ulema_1,1,1,noun,ulama
ulex,ulex_1,1,1,noun,Ulex,genus Ulex
ulex europaeus,ulex europaeus_1,1,1,noun,gorse,furze,whin,Irish gorse,Ulex europaeus
ulfila,ulfila_1,1,1,noun,Ulfilas,Bishop Ulfilas,Ulfila,Bishop Ulfila,Wulfila,Bishop Wulfil
ulfilas,ulfilas_1,1,1,noun,Ulfilas,Bishop Ulfilas,Ulfila,Bishop Ulfila,Wulfila,Bishop Wulfil
ull,ull_1,1,1,noun,Ull,Ullr
ullr,ullr_1,1,1,noun,Ull,Ullr
ulmaceae,ulmaceae_1,1,1,noun,Ulmaceae,family Ulmaceae,elm family
ulmus,ulmus_1,1,1,noun,Ulmus,genus Ulmus
ulmus alata,ulmus alata_1,1,1,noun,winged elm,wing elm,Ulmus alata
ulmus americana,ulmus americana_1,1,1,noun,American elm,white elm,water elm,rock elm,Ulmus americana
ulmus campestris sarniensis,ulmus campestris sarniensis_1,1,1,noun,Jersey elm,guernsey elm,wheately elm,Ulmus sarniensis,Ulmus campestris sarniensis,Ulmus campestris wheatley
ulmus campestris wheatleyi,ulmus campestris wheatleyi_1,1,1,noun,Jersey elm,guernsey elm,wheately elm,Ulmus sarniensis,Ulmus campestris sarniensis,Ulmus campestris wheatley
ulmus carpinifolia,ulmus carpinifolia_1,1,1,noun,smooth-leaved elm,European field elm,Ulmus carpinifolia
ulmus crassifolia,ulmus crassifolia_1,1,1,noun,cedar elm,Ulmus crassifolia
ulmus glabra,ulmus glabra_1,1,1,noun,witch elm,wych elm,Ulmus glabra
ulmus hollandica,ulmus hollandica_1,1,1,noun,Dutch elm,Ulmus hollandica
